117:   117   S0(e= 35, idx= 98) | S1(e= 70, idx= 49) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
118:   118   S0(e= 35, idx= 98) | S1(e= 70, idx= 49) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
119:   119   S0(e= 35, idx= 98) | S1(e= 70, idx= 49) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
120:   120   S0(e= 67, idx= 97) | S1(e=  6, idx= 48) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
121:   121   S0(e= 67, idx= 97) | S1(e=  6, idx= 48) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
122:   122   S0(e= 67, idx= 97) | S1(e=  6, idx= 48) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
123:   123   S0(e= 67, idx= 97) | S1(e=  6, idx= 48) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
124:   124   S0(e=  3, idx= 96) | S1(e=  6, idx= 48) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
125:   125   S0(e=  3, idx= 96) | S1(e=  6, idx= 48) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
126:   126   S0(e=  3, idx= 96) | S1(e=  6, idx= 48) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
127:   127   S0(e=  3, idx= 96) | S1(e=  6, idx= 48) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
128:   128   S0(e=125, idx= 95) | S1(e=122, idx= 47) | S2(e=116, idx= 23) | S3(e=104, idx= 11) | S4(e= 80, idx=  5) | S5(e= 32, idx=  2) | S6(e= 64, idx=  1)
